Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BC840M.brd" as of: 11/24/2021 2:08 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.047,2.197,180
C2,Top,1.105,2.198,0
C3,Bottom,1.107,1.734,270
C4,Bottom,1.405,1.667,90
C5,Bottom,1.216,2.218,180
C6,Bottom,1.408,1.915,270
C7,Bottom,1.347,2.456,0
C8,Bottom,1.214,2.248,0
C9,Top,0.642,1.415,0
C10,Top,1.117,1.415,180
C11,Top,1.191,1.298,180
C12,Top,1.007,1.904,180
C13,Top,1.065,1.703,180
C14,Top,0.951,1.423,180
C15,Top,1.007,1.940,180
C16,Bottom,0.976,1.652,90
C17,Bottom,0.976,1.757,270
C18,Top,0.642,1.474,180
C19,Top,0.643,1.445,0
C20,Bottom,0.973,1.871,90
C21,Bottom,0.974,1.977,270
C22,Top,1.040,2.145,180
C23,Top,1.144,1.928,0
C24,Bottom,0.975,2.101,90
C25,Bottom,0.975,2.208,270
C26,Top,0.731,1.488,180
C27,Top,0.731,1.518,180
C28,Bottom,0.975,2.311,90
C29,Bottom,0.967,2.414,270
C30,Top,0.743,1.459,0
C31,Top,0.748,1.425,0
CS,Bottom,1.378,2.508,0
DIN,Bottom,1.427,2.629,0
DOUT,Bottom,1.406,2.594,0
DRDY,Bottom,1.404,2.530,0
I1,Top,0.685,1.456,270
J1,Top,1.360,1.423,90
JP1,Bottom,0.678,2.036,90
JP2,Top,0.678,2.036,90
JP3,Top,1.329,2.135,90
LED1,Top,0.536,1.435,180
LED2,Top,1.266,2.740,90
LED3,Top,1.355,2.712,0
NFC1,Bottom,1.254,2.704,0
NFC2,Bottom,1.190,2.704,0
R1,Top,0.992,1.413,270
R2,Top,0.870,2.213,270
R3,Top,1.209,1.354,180
R4,Top,1.092,1.457,180
R5,Top,0.538,1.507,180
R6,Bottom,0.881,1.610,180
R7,Bottom,0.893,1.783,180
R8,Bottom,0.893,1.673,180
R9,Bottom,0.893,1.728,180
R10,Bottom,0.893,1.846,180
R11,Bottom,0.894,2.016,180
R12,Bottom,0.893,1.899,180
R13,Bottom,0.894,1.961,180
R14,Bottom,0.896,2.072,180
R15,Bottom,0.895,2.246,180
R16,Bottom,0.896,2.128,180
R17,Bottom,0.895,2.191,180
R18,Bottom,0.888,2.300,180
R19,Bottom,0.888,2.473,180
R20,Bottom,0.888,2.358,180
R21,Bottom,0.888,2.416,180
R22,Top,1.082,1.974,90
R23,Top,1.317,1.600,180
R24,Top,1.317,1.545,0
R25,Top,0.922,1.770,0
R26,Top,1.321,2.672,90
R27,Top,1.397,2.653,0
R28,Top,0.889,1.890,0
R29,Top,0.881,1.848,0
R30,Bottom,1.457,2.594,180
R31,Bottom,1.388,2.185,0
S1,Top,1.091,1.557,0
SCLK,Bottom,1.418,2.561,0
SJ1,Bottom,1.306,2.246,0
SJ2,Bottom,1.194,2.324,270
SYNC,Bottom,1.338,2.496,0
U1,Top,0.807,1.482,180
U2,Top,0.870,2.297,0
U3,Top,1.080,1.803,90
U4,Bottom,1.309,2.370,0
U5,Bottom,1.222,2.028,180
U6,Top,1.076,1.320,0
U7,Top,0.802,1.296,90
X1,Bottom,1.256,1.712,180
X2,Top,1.068,2.247,0
