Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BT840_1.27mm_headers.brd" as of: 7/23/2023 1:56 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.504,2.238,180
C2,Bottom,0.503,2.302,180
C3,Bottom,1.068,1.794,0
C4,Bottom,1.106,2.083,270
C5,Bottom,0.885,2.167,180
C6,Bottom,1.052,1.752,270
C7,Bottom,1.104,2.179,180
C8,Bottom,0.892,2.265,90
C9,Top,1.288,1.764,270
C10,Top,1.197,1.846,180
C11,Bottom,1.383,2.031,0
C12,Top,1.226,1.990,180
C13,Top,1.023,1.948,90
C14,Top,1.389,1.876,90
C15,Bottom,1.178,2.096,270
C16,Bottom,0.777,1.752,90
C17,Bottom,0.779,1.806,90
C18,Top,1.287,1.805,0
C19,Top,1.257,1.764,270
C20,Bottom,0.716,1.864,90
C21,Bottom,0.708,1.947,270
C22,Bottom,1.237,2.094,180
C23,Bottom,0.969,1.798,180
C24,Bottom,0.708,2.001,90
C25,Bottom,0.685,2.051,270
C26,Top,1.203,1.804,270
C27,Top,1.216,1.733,180
C28,Bottom,0.714,2.098,270
C29,Bottom,0.711,2.149,270
C30,Top,1.286,1.725,0
C31,Top,1.352,1.697,0
I1,Top,1.218,1.763,0
J1,Top,0.725,1.772,0
LED1,Top,1.418,2.578,0
LED2,Top,1.350,2.570,270
LED3,Top,1.351,2.607,270
NFC1,Bottom,0.770,2.408,0
NFC2,Bottom,0.701,2.408,0
R1,Top,1.373,1.824,90
R2,Bottom,1.221,2.171,270
R3,Top,1.239,1.807,0
R4,Top,1.335,1.808,0
R5,Top,1.313,2.537,0
R6,Bottom,1.477,2.073,90
R7,Bottom,1.142,2.189,270
R8,Top,1.276,2.576,0
R9,Top,1.275,2.614,0
R10,Bottom,1.282,2.073,270
R11,Bottom,1.241,1.949,90
R12,Top,0.843,1.946,270
R13,Bottom,1.079,2.128,180
S1,Top,1.004,1.778,0
U1,Top,1.334,1.754,180
U2,Top,0.947,2.320,0
U3,Top,1.121,1.926,0
U4,Bottom,0.997,2.210,0
U5,Bottom,0.890,1.980,180
U6,Top,1.298,1.907,180
U7,Top,1.501,1.861,180
X1,Bottom,1.134,1.936,90
X2,Bottom,0.578,2.272,90
X3,Top,0.466,2.290,270
X4,Top,1.426,2.268,270
X5,Bottom,0.465,1.963,90
